2024-03-21 21:42:38,674 | WARN  | Transport Connection to: tcp://127.0.0.1:56704 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56704@61616
2024-03-21 21:42:38,674 | WARN  | Transport Connection to: tcp://127.0.0.1:56705 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56705@61616
2024-03-21 21:42:38,674 | WARN  | Transport Connection to: tcp://127.0.0.1:56706 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56706@61616
2024-03-21 21:42:38,674 | WARN  | Transport Connection to: tcp://127.0.0.1:56703 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56703@61616
2024-03-21 21:42:38,674 | WARN  | Transport Connection to: tcp://127.0.0.1:56701 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56701@61616
2024-03-21 21:42:38,673 | WARN  | Transport Connection to: tcp://127.0.0.1:56700 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56700@61616
2024-03-21 21:42:38,673 | WARN  | Transport Connection to: tcp://127.0.0.1:56702 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56702@61616
2024-03-21 21:42:38,673 | WARN  | Transport Connection to: tcp://127.0.0.1:56699 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56699@61616
2024-03-21 21:42:38,672 | WARN  | Transport Connection to: tcp://127.0.0.1:56687 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56687@61616
2024-03-21 21:42:38,672 | WARN  | Transport Connection to: tcp://127.0.0.1:56684 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56684@61616
2024-03-21 21:42:38,671 | WARN  | Transport Connection to: tcp://127.0.0.1:56683 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56683@61616
2024-03-21 21:42:38,671 | WARN  | Transport Connection to: tcp://127.0.0.1:56682 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56682@61616
2024-03-21 21:42:38,671 | WARN  | Transport Connection to: tcp://127.0.0.1:56681 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56681@61616
2024-03-21 21:42:38,670 | WARN  | Transport Connection to: tcp://127.0.0.1:56679 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56679@61616
2024-03-21 21:42:38,670 | WARN  | Transport Connection to: tcp://127.0.0.1:56680 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56680@61616
2024-03-21 21:42:38,670 | WARN  | Transport Connection to: tcp://127.0.0.1:56678 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56678@61616
2024-03-21 21:42:38,670 | WARN  | Transport Connection to: tcp://127.0.0.1:56677 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56677@61616
2024-03-21 21:42:38,670 | WARN  | Transport Connection to: tcp://127.0.0.1:56676 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56676@61616
2024-03-21 21:42:38,670 | WARN  | Transport Connection to: tcp://127.0.0.1:56675 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56675@61616
2024-03-21 21:42:38,669 | WARN  | Transport Connection to: tcp://127.0.0.1:56663 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56663@61616
2024-03-21 21:42:38,669 | WARN  | Transport Connection to: tcp://127.0.0.1:56662 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56662@61616
2024-03-21 21:42:38,669 | WARN  | Transport Connection to: tcp://127.0.0.1:56661 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56661@61616
2024-03-21 21:42:38,668 | WARN  | Transport Connection to: tcp://127.0.0.1:56660 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56660@61616
2024-03-21 21:42:38,668 | WARN  | Transport Connection to: tcp://127.0.0.1:56657 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56657@61616
2024-03-21 21:42:38,668 | WARN  | Transport Connection to: tcp://127.0.0.1:56656 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56656@61616
2024-03-21 21:42:38,667 | WARN  | Transport Connection to: tcp://127.0.0.1:56654 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56654@61616
